19000 0 0
20 0 0
24 0 0.00492611
43bn 0 0.00246305
5 0 0.00246305
7 0.00769231 0
7bn 0 0.00246305
abbas 0 0
ability 0 0
accord 0 0.00246305
achieve 0 0.00246305
acosta 0 0
actions 0 0
activities 0 0.00492611
added 0 0.00246305
adding 0 0
additional 0 0.00492611
address 0 0
addresses 0 0
administration 0 0.00492611
administrations 0 0.00246305
advance 0 0.00246305
advanced 0 0
advancement 0 0
agreed 0.00769231 0.00492611
agreement 0.00769231 0.0197044
ahmadinejad 0.00769231 0.00246305
ahmadinejads 0 0
aiming 0 0.00246305
airport 0.00769231 0
alexander 0 0
ali 0.00769231 0.00246305
allies 0 0.00492611
allowed 0 0.00246305
ambassador 0.00769231 0
amendments 0 0
americans 0 0.00246305
animosity 0 0
announced 0 0
announcements 0 0.00246305
ap 0 0.00246305
appearing 0 0
araghchi 0 0
arak 0 0.00246305
arrived 0.00769231 0
ashton 0 0
asked 0 0
atlanta 0 0
attributed 0 0
authorised 0 0.00246305
avert 0 0
ayatollah 0.00769231 0.00246305
back 0.00769231 0
backed 0 0.00246305
bad 0 0
barack 0 0.00246305
bbc 0 0.00246305
began 0 0
begin 0.00769231 0
believed 0 0.00246305
bellicose 0 0
benefits 0 0.00246305
benjamin 0 0.00738916
billion 0.00769231 0
bob 0 0.00246305
bomb 0 0.00246305
botelho 0 0
bound 0 0.00246305
bowen 0 0.00246305
breakout 0 0.00246305
breathing 0 0.00492611
briefing 0 0
britain 0 0
broadcast 0 0.00246305
build 0 0
building 0 0.00246305
buys 0 0.00246305
cabinet 0 0.00246305
called 0.00769231 0
calls 0 0.00246305
cameron 0 0.00246305
capacity 0.00769231 0.00492611
capped 0 0
carnegie 0 0
carried 0.00769231 0
carter 0 0
cascades 0 0.00246305
catherine 0 0
caustic 0 0
centrifuge 0 0.00246305
centrifuges 0 0
changed 0 0
chanted 0.0153846 0
charge 0 0.00246305
charles 0 0.00246305
cheering 0.00769231 0
chelsea 0 0
chief 0 0
china 0 0.00246305
claims 0 0
clarification 0.00769231 0
clear 0 0
close 0 0
closeddoor 0 0
cnn 0 0
cnns 0 0
comments 0 0.00246305
commitment 0 0
commonly 0 0
comprehensive 0 0
concerns 0 0.00246305
concessions 0 0.00246305
conciliatory 0 0
concrete 0 0
congress 0 0.00246305
consistently 0 0.00246305
construction 0 0
continue 0.00769231 0.00246305
contradict 0 0
contributed 0 0
converted 0 0
corker 0 0.00246305
correspondent 0 0.00246305
countries 0 0
country 0.00769231 0.00492611
countrys 0 0
create 0 0
creating 0 0
crippling 0.00769231 0
crisis 0 0
crowd 0.00769231 0
curb 0 0.00246305
david 0 0.00246305
days 0 0
deal 0.0307692 0.0246305
deals 0 0
december 0 0.00246305
democratic 0 0.00246305
democrats 0 0.00246305
demonstrates 0 0.00246305
denied 0 0.00492611
deputy 0 0
destruction 0 0.00246305
developing 0 0.00246305
development 0 0
difficult 0 0
diluted 0 0
diplomacy 0 0.00246305
diplomatic 0 0.00246305
diplomats 0.00769231 0
disagreement 0 0
disappointed 0 0.00246305
discussions 0 0
disproportionality 0 0.00246305
dunlavey 0 0
duty 0 0.00246305
earlier 0 0
early 0 0.00246305
eased 0 0
eases 0.00769231 0
east 0 0.00246305
economic 0.00769231 0
economy 0 0
effect 0 0.00246305
elected 0 0.00246305
election 0 0
enable 0 0
endowment 0 0
enforced 0 0.00246305
enrich 0 0.00246305
enriched 0 0.00246305
enriching 0 0
enrichment 0 0.00985222
eus 0 0
exchange 0 0
existing 0 0.00246305
expert 0 0
extent 0 0.00246305
facetoface 0 0.00246305
facility 0 0.00246305
families 0.00769231 0
farshbaf 0 0
favoured 0 0.00246305
feed 0 0
feet 0 0.00246305
fenton 0 0
final 0.0153846 0.00246305
fire 0 0.00246305
flags 0.00769231 0
flowers 0.00769231 0
fm 0 0.00246305
follow 0 0.00246305
followup 0.00769231 0
fordo 0 0.00246305
foreign 0.0153846 0.00246305
formal 0 0
formally 0 0
fox 0 0.00246305
france 0 0.00246305
freezing 0 0.00246305
friends 0 0.00246305
frustration 0 0
fundamental 0 0.00246305
future 0 0
gain 0 0.00246305
gaining 0 0.00246305
generate 0 0
geneva 0 0.00738916
germany 0 0.00246305
giving 0 0.00246305
goal 0 0.00492611
government 0 0
greeted 0.00769231 0
greg 0 0
ground 0 0.00246305
grow 0 0.00246305
guarantee 0 0.00246305
hailed 0 0.00246305
hallmark 0 0
halting 0 0
halts 0 0
hardline 0.00769231 0.00246305
hassan 0.00769231 0
heavy 0 0
held 0 0.00246305
hibbs 0 0
historic 0 0.00738916
hold 0 0.00246305
hoped 0 0.00246305
hopes 0 0
hours 0 0.00246305
house 0 0
hundreds 0.00769231 0
ideas 0 0
image 0 0.00246305
improve 0 0
includes 0 0
including 0 0.00246305
increased 0 0
initial 0 0
insists 0 0.00246305
insult 0.00769231 0
intelligence 0 0
interest 0 0.00246305
interim 0 0.00246305
international 0.00769231 0
interpretations 0 0.00246305
interview 0 0.00246305
intrusive 0 0
iran 0.00769231 0.0344828
iranian 0.00769231 0
iranians 0 0.00246305
irans 0.0307692 0.0147783
islamic 0.00769231 0
israel 0 0.0147783
israeli 0 0.00492611
j 0 0
jabs 0 0
javad 0.00769231 0.00246305
jeremy 0 0.00246305
jim 0 0
john 0 0.00492611
join 0 0.00246305
