0332 0 0.00251889 0
16 0 0.00251889 0
17 0.00265957 0.00251889 0
1800 0 0.00251889 0
19 0 0.00251889 0
1963 0.00265957 0.00251889 0
1976 0 0 0.00377358
1994 0.00265957 0.00251889 0.00377358
2004 0.00265957 0.00251889 0
2008 0 0.00251889 0.00377358
2011 0 0 0.00377358
2014 0 0.00503778 0
2132 0 0.00251889 0
24 0.00265957 0.00251889 0
40 0 0 0.00377358
46 0.00265957 0.00251889 0.00377358
509th 0 0 0.00377358
932 0.00265957 0 0.00377358
abbott 0.00531915 0 0
abbotts 0.00265957 0 0
abroad 0.00531915 0 0
access 0.00265957 0.00251889 0.00754717
acknowledged 0.00265957 0 0
active 0.00265957 0 0
administered 0.00265957 0 0
administrations 0 0 0.00377358
adopted 0.00265957 0 0
advised 0.00265957 0.00251889 0
affect 0 0.00251889 0
agreement 0.00265957 0 0
ahead 0 0.00251889 0
alive 0 0.00251889 0.00377358
alsup 0 0 0.00377358
american 0.00265957 0.00251889 0.00377358
americans 0.00265957 0.00251889 0.00377358
americas 0 0.00251889 0
announced 0 0.00251889 0
appeal 0 0.00503778 0
appeals 0.00265957 0 0
argued 0.00265957 0.00503778 0.00377358
arguing 0 0 0.00754717
arguments 0.00265957 0 0
arias 0 0.00251889 0.00377358
arrest 0.00265957 0 0.00377358
arrested 0 0.00755668 0.00754717
arresting 0 0 0.00377358
asked 0.00531915 0.00251889 0
assistance 0.00265957 0.0100756 0.00377358
atlanta 0 0 0.00377358
attorney 0.00531915 0 0
attorneys 0.00531915 0 0.00377358
audible 0.00265957 0 0
awaited 0 0.00251889 0
awaiting 0.00265957 0.00251889 0.00377358
aware 0.00265957 0 0
babcock 0.00531915 0 0.00377358
began 0.00265957 0 0
begin 0.00265957 0 0
bill 0 0 0.00377358
block 0 0 0.00377358
blocks 0.00265957 0 0
board 0.00265957 0 0.00377358
booking 0 0.00251889 0
border 0 0.00251889 0
breaths 0.00265957 0 0
brothers 0.00265957 0 0
bush 0 0.00251889 0.00377358
california 0.00265957 0 0
capital 0.00265957 0.00251889 0
captured 0.00265957 0 0
car 0.00265957 0 0
carrying 0.00265957 0 0
case 0.00797872 0.0125945 0.00377358
cases 0.00265957 0.00251889 0
catherine 0 0 0.00377358
chamber 0.00265957 0 0
charge 0.00265957 0.00251889 0
circumstances 0.00265957 0 0
citizens 0.00265957 0.00503778 0.00754717
claims 0 0 0.00377358
clark 0 0 0.00377358
clear 0 0.00251889 0.00377358
clemency 0.00531915 0 0.00377358
cnn 0 0 0.00377358
cnns 0 0 0.0150943
commit 0.00265957 0.00251889 0.00377358
commitments 0.00265957 0 0
committed 0 0 0.00377358
compared 0 0.00251889 0
competent 0 0 0.00377358
concealed 0.00265957 0.00251889 0
concerned 0 0.00251889 0
congress 0.00265957 0.00251889 0
consular 0.00797872 0.00755668 0.00377358
consulate 0.00531915 0.00251889 0.00754717
consulates 0.00265957 0.00251889 0
contend 0.00265957 0 0
contest 0.00265957 0.00251889 0
contributed 0 0 0.00377358
convention 0.00265957 0.00251889 0
convicted 0 0 0.0113208
conviction 0 0.00251889 0.00377358
cop 0 0 0.00377358
count 0 0.00251889 0
countries 0.00265957 0.00755668 0.00377358
county 0.00265957 0 0
court 0.0106383 0.0151134 0.00754717
courts 0.00531915 0.00251889 0.00377358
crashed 0.00265957 0 0
crime 0.00265957 0.00503778 0.00377358
criminal 0.00265957 0.00251889 0.00377358
criticized 0 0 0.00377358
ct 0 0 0.00377358
cuevas 0 0 0.00377358
cst 0.00265957 0 0
date 0 0 0.00377358
dave 0 0 0.00377358
dead 0.00265957 0.00251889 0
death 0.0106383 0.00755668 0.0113208
declined 0 0.00251889 0
defense 0 0 0.00377358
delay 0.00265957 0.00503778 0.00377358
delayed 0 0.00251889 0
delays 0.00265957 0 0
demanding 0 0.00251889 0
denied 0 0.00251889 0.0113208
