http:__www.reuters.com_article_2014_01_22_us-apple-icahn-idUSBREA0L1ED20140122,icahn,stock,apple,shareholders,company,billion,buyback,shares,share,wednesday,percent,investor,investment,cash,proxy,proposal,program,million,major,letter
http:__www.reuters.com_article_2014_01_22_us-centralafrican-idUSBREA0L27D20140122,seleka,french,bangui,wednesday,violence,soldiers,reuters,president,neighborhood,muslim,african,red,people,military,killed,interim,hrw,est,cross,christian
http:__www.reuters.com_article_2014_01_22_us-davos-japan-idUSBREA0L1NF20140122,china,abe,war,military,japans,davos,japan,world,zone,tokyo,shrine,prime,chinese,years,wu,visit,minister,growth,defense,beijing
http:__www.reuters.com_article_2014_01_22_us-iraq-falluja-idUSBREA0L1UP20140122,falluja,isil,city,people,maliki,iraq,baghdad,militants,war,tribal,time,set,reuters,prime,nuri,minister,january,iraqi,groups,armed
http:__www.reuters.com_article_2014_01_22_us-netflix-results-idUSBREA0L21X20140122,netflix,company,million,year,video,streaming,percent,quarter,operators,net,markets,customers,content,cable,2013,tv,trading,subscribers,speeds,shown
http:__www.reuters.com_article_2014_01_22_us-olympics-threat-idUSBREA0L12W20140122,security,olympic,sochi,committee,russian,letter,games,suicide,russia,received,team,reuters,letters,islamist,ioc,email,caucasus,woman,united,told
http:__www.reuters.com_article_2014_01_22_us-syria-crisis-idUSBREA0L0H820140122,government,opposition,est,syrian,syria,talks,foreign,assad,montreux,sides,iran,western,war,rebels,president,meeting,lavrov,conference,bashar,ban
http:__www.reuters.com_article_2014_01_22_us-ukraine-idUSBREA0L0B520140122,police,protesters,est,yanukovich,opposition,kiev,people,overnight,deaths,violence,ukraine,talks,square,president,european,bullets,action,violent,video,ukraines
http:__www.reuters.com_article_2014_01_22_us-usa-fiscal-idUSBREA0L22A20140122,debt,government,washington,late,congress,treasury,october,february,borrowing,raise,financial,default,ceiling,administration,year,worker,tax,start,shutdown,risk
http:__www.reuters.com_article_2014_01_22_us-usa-healthcare-medicaid-idUSBREA0L27N20140122,medicaid,states,people,million,health,insurance,obamacare,eligible,program,october,healthcare,chip,state,reported,private,president,obama,law,federal,expansion
http:__www.reuters.com_article_2014_01_22_us-usa-weather-idUSBREA0K0IW20140122,jersey,york,temperatures,city,snow,wednesday,washington,vaccaro,train,state,schools,philadelphia,offices,maryland,including,inches,de,cold,2014,yorkmaplewood
http:__www.reuters.com_article_2014_01_23_us-apple-icahn-idUSBREA0L1ED20140123,icahn,apple,billion,shares,thursday,stock,shareholders,company,cash,share,percent,letter,investor,investment,stake,position,million,exchange,deals,cook
http:__www.reuters.com_article_2014_01_23_us-china-activist-idUSBREA0M0BJ20140123,trial,beijing,court,zhao,chinese,zhang,movement,china,public,officials,citizens,order,lawyer,hou,assets,activists,xu,told,thursday,reuters
http:__www.reuters.com_article_2014_01_23_us-davos-iran-rouhani-idUSBREA0M0KC20140123,iran,rouhani,nuclear,irans,president,davos,world,states,sanctions,western,united,meeting,deal,settlement,saudi,relations,oil,interim,economic,conference
