http:__www.theguardian.com_artanddesign_2014_jan_22_frank-whitford.tsv,art,frank,german,college,whitford,work,history,cartoon,cambridge,university,newspaper,daily,critic,cartoonist,berlin,years,whitfords,sunday,rausch,modern
http:__www.theguardian.com_artanddesign_2014_jan_23_anastasia-taylor-lind-best-photograph-wedding-nagorno-karabakh.tsv,wedding,village,house,armine,nagornokarabakh,couple,artaks,artak,zone,years,time,thought,taxi,received,point,photography,photograph,married,low,hours
http:__www.theguardian.com_artanddesign_architecture-design-blog_2014_jan_23_vandals-break-in-le-corbusier-ronchamp-chapel-scandal.tsv,chapel,windows,ronchamp,moon,vandals,vandalism,le,window,wall,south,smashed,site,puncture,place,ignited,hill,haut,du,corbusiers,corbusier
http:__www.theguardian.com_artanddesign_photography-blog_2014_jan_23_associated-press-narciso-contreras-syria-photojournalism.tsv,image,narciso,contreras,syria,photograph,rebel,news,good,fighter,contrerasap,ap,aleppo,seemingly,pulitzer,prize,picture,photography,photographers,machine,jedida
http:__www.theguardian.com_artanddesign_picture_2014_jan_23_photography-firstworldwar.tsv,netherlands,wilhelm,ii,emperor,doorn,1926,wife,refused,imagnohulton,hermine,email,daughters,archivegetty,address,world,wilhelmina,war,versailles,treaty,treaties
http:__www.theguardian.com_artanddesign_picture_2014_jan_25_photography-us-crime.tsv,capone,al,police,chicago,mugshots,jail,email,department,bettmanncorbis,address,short,sentence,senders,send,rights,reserved,recipients,received,quantcast,photograph
http:__www.theguardian.com_artanddesign_video_2014_jan_23_chinese-artist-sculpts-stretchy-paper-carvings-video.tsv,jan,2014,autoplay,22,2013,2012,mar,dec,2011,turn,nov,20,16,email,busts,apr,address,2010,08,york
http:__www.theguardian.com_books_2014_jan_23_juan-gelman.tsv,gelman,argentina,poetry,juan,military,life,poet,poems,argentinian,writing,nora,gelmans,forces,communist,began,years,writes,work,wife,verses
http:__www.theguardian.com_books_2014_jan_23_small-presses-growing-translated-fiction-readership.tsv,books,readers,uk,european,english,british,translation,publishers,authors,writing,stories,year,writer,world,publishing,publisher,published,publish,market,job
http:__www.theguardian.com_books_2014_jan_24_losing-dead-lisa-appignanesi-review.tsv,appignanesi,survive,story,lisa,identities,hena,family,wistful,wartime,tells,polish,poland,parents,memory,memoir,losing,life,jews,email,aryan
