ABC_link BBC_link CNN_link
http:__abcnews.go.com_Entertainment_wireStory_pop-star-justin-bieber-arrested-miami-area-21634238.tsv http:__www.bbc.co.uk_news_entertainment-arts-25876655.tsv http:__edition.cnn.com_2014_01_23_showbiz_justin-bieber-arrest-duplicate-2_index.html.tsv
http:__abcnews.go.com_Entertainment_wireStory_pop-star-justin-bieber-arrested-miami-area-21634238.tsv http:__www.bbc.co.uk_news_entertainment-arts-25876655.tsv http:__edition.cnn.com_2014_01_23_showbiz_justin-bieber-arrest_index.html.tsv
http:__abcnews.go.com_International_wireStory_group-end-mass-arrests-muslims-myanmar-21634087.tsv http:__www.bbc.co.uk_news_world-asia-25866350.tsv http:__edition.cnn.com_2014_01_23_world_asia_myanmar-muslims-killed-dispute_index.html.tsv
http:__abcnews.go.com_International_wireStory_indian-police-officials-ordered-gang-rape-21632577.tsv http:__www.bbc.co.uk_news_world-asia-india-25855325.tsv http:__edition.cnn.com_2014_01_23_world_asia_india-gang-rape_index.html.tsv
http:__abcnews.go.com_Politics_wireStory_syrian-govt-terrorism-talks-priority-21635911.tsv http:__www.bbc.co.uk_news_world-middle-east-25836827.tsv http:__edition.cnn.com_2014_01_24_world_meast_syria-geneva-talks_index.html.tsv
http:__abcnews.go.com_Sports_wireStory_federer-beats-murray-australian-open-21620109.tsv http:__www.bbc.co.uk_sport_0_tennis_25875113.tsv http:__edition.cnn.com_2014_01_24_sport_tennis_australian-open-federer-nadal-tennis_index.html.tsv
http:__abcnews.go.com_Sports_wireStory_nadal-beats-federer-reaches-australian-open-final-21649879.tsv http:__www.bbc.co.uk_sport_0_tennis_25855302.tsv http:__edition.cnn.com_2014_01_24_sport_tennis_australian-open-federer-nadal-tennis_index.html.tsv
http:__abcnews.go.com_Sports_wireStory_nadal-beats-federer-reaches-australian-open-final-21649879.tsv http:__www.bbc.co.uk_sport_0_tennis_25875113.tsv http:__edition.cnn.com_2014_01_24_sport_tennis_australian-open-federer-nadal-tennis_index.html.tsv
http:__abcnews.go.com_US_wireStory_hospital-told-pregnant-woman-off-support-21728372.tsv http:__www.bbc.co.uk_news_world-us-canada-25889728.tsv http:__edition.cnn.com_2014_01_24_health_pregnant-brain-dead-woman-texas_index.html.tsv
http:__abcnews.go.com_US_wireStory_mexican-national-scheduled-executed-texas-21618507.tsv http:__www.bbc.co.uk_news_world-us-canada-25848393.tsv http:__edition.cnn.com_2014_01_22_us_mexico-texas-tamayo-execution_index.html.tsv
