http:__abcnews.go.com_Sports_wireStory_cibulkova-hopes-slam-final-21780668.tsv http:__www.bbc.co.uk_sport_0_tennis_25875113.tsv http:__edition.cnn.com_2014_01_23_sport_tennis_cibulkova-li-na-australian-open_index.html.tsv 1390657659 1390645684 1390480033
http:__abcnews.go.com_International_wireStory_bombings-rock-egyptian-capital-killing-people-21650465.tsv http:__www.bbc.co.uk_news_world-middle-east-25888916.tsv http:__edition.cnn.com_2014_01_24_world_meast_egypt-explosion_index.html.tsv 1390655695 1390652702 1390598069
http:__abcnews.go.com_US_wireStory_hospital-told-pregnant-woman-off-support-21728372.tsv http:__www.bbc.co.uk_news_world-us-canada-25889728.tsv http:__edition.cnn.com_2014_01_24_health_pregnant-brain-dead-woman-texas_index.html.tsv 1390637296 1390606492 1390613790
http:__abcnews.go.com_International_wireStory_face-face-meeting-syrian-peace-talks-21648873.tsv http:__www.bbc.co.uk_news_world-middle-east-25887177.tsv http:__edition.cnn.com_2014_01_25_world_meast_syria-geneva-talks_index.html.tsv 1390583656 1390646029 1390648830
http:__abcnews.go.com_Health_wireStory_hollande-meets-pope-francis-amid-affair-rumor-21648260.tsv http:__www.bbc.co.uk_news_world-europe-25895263.tsv http:__edition.cnn.com_2014_01_24_world_europe_vatican-hollande_index.html.tsv 1390558556 1390656142 1390562599
http:__abcnews.go.com_Entertainment_wireStory_pop-star-justin-bieber-arrested-miami-area-21634238.tsv http:__www.bbc.co.uk_news_entertainment-arts-25876655.tsv http:__edition.cnn.com_2014_01_23_showbiz_justin-bieber-arrest_index.html.tsv 1390555571 1390559923 1390570669
http:__abcnews.go.com_International_wireStory_group-end-mass-arrests-muslims-myanmar-21634087.tsv http:__www.bbc.co.uk_news_world-asia-25866350.tsv http:__edition.cnn.com_2014_01_23_world_asia_myanmar-muslims-killed-dispute_index.html.tsv 1390508453 1390543426 1390519898
http:__abcnews.go.com_Politics_wireStory_syrian-govt-terrorism-talks-priority-21635911.tsv http:__www.bbc.co.uk_news_world-middle-east-25894821.tsv http:__edition.cnn.com_2014_01_24_world_meast_syria-geneva-talks_index.html.tsv 1390505248 1390651588 1390625632
http:__abcnews.go.com_International_wireStory_indian-police-officials-ordered-gang-rape-21632577.tsv http:__www.bbc.co.uk_news_world-asia-india-25855325.tsv http:__edition.cnn.com_2014_01_23_world_asia_india-gang-rape_index.html.tsv 1390462310 1390480801 1390516191
http:__abcnews.go.com_US_wireStory_mexican-national-scheduled-executed-texas-21618507.tsv http:__www.bbc.co.uk_news_world-us-canada-25848393.tsv http:__edition.cnn.com_2014_01_22_us_mexico-texas-tamayo-execution_index.html.tsv 1390450251 1390449125 1390475399
