REUTERS_link	NPR_link	NumMatching
http:__www.reuters.com_article_2014_01_23_us-india-rape-idUSBREA0M0VH20140123	http:__www.npr.org_blogs_parallels_2014_01_23_265274506_indian-village-elders-accused-of-ordering-gang-rape?ft=1&amp;f=1001.tsv	10
http:__www.reuters.com_article_2014_01_24_us-ukraine-idUSBREA0M0S820140124	http:__www.npr.org_blogs_thetwo-way_2014_01_24_265664398_ukraine-protests-spread-but-fragile-truce-holds-in-kiev?ft=1&amp;f=1001.tsv	9
