ABC_link	FOX_link	NumMatching
http:__abcnews.go.com_Sports_wireStory_us-officials-cite-security-steps-sochi-games-21660098.tsv	http:__www.foxnews.com_politics_2014_01_24_state-department-issues-updated-travel-alert-amid-rising-terror-concerns-in_.tsv	13
http:__abcnews.go.com_Sports_wireStory_us-officials-cite-security-steps-sochi-games-21660098.tsv	http:__www.foxnews.com_politics_2014_01_25_state-department-issues-updated-travel-alert-amid-rising-terror-concerns-in_.tsv	13
http:__abcnews.go.com_Entertainment_wireStory_babe-ruths-1923-series-watch-ny-auction-21647722.tsv	http:__www.foxnews.com_sports_2014_01_24_babe-ruth-123-series-watch-headed-to-auction-expected-to-fetch-750g_.tsv	18
http:__abcnews.go.com_Sports_wireStory_babe-ruths-1923-series-watch-ny-auction-21647790.tsv	http:__www.foxnews.com_sports_2014_01_24_babe-ruth-123-series-watch-headed-to-auction-expected-to-fetch-750g_.tsv	18
http:__abcnews.go.com_Sports_wireStory_seattles-sherman-fined-7875-taunting-21659935.tsv	http:__www.foxnews.com_sports_2014_01_25_seattle-sherman-fined-7875-for-nfc-title-game-taunting_.tsv	12
http:__abcnews.go.com_Technology_wireStory_apples-mac-influences-30-years-debut-21640906.tsv	http:__www.foxnews.com_tech_2014_01_24_apple-mac-still-influences-30-years-after-debut_.tsv	18
http:__abcnews.go.com_Travel_wireStory_universal-double-size-space-harry-potter-21638788.tsv	http:__www.foxnews.com_travel_2014_01_23_universals-new-diagon-alley-adds-serious-magic-to-harry-potter-theme-park_.tsv	9
http:__abcnews.go.com_Health_wireStory_slain-transit-officer-knew-dangers-police-work-21631071.tsv	http:__www.foxnews.com_us_2014_01_23_bart-officer-died-gunshot-wound-to-chest-autopsy-says_.tsv	12
http:__abcnews.go.com_US_wireStory_family-slain-officer-speaks-media-21632770.tsv	http:__www.foxnews.com_us_2014_01_23_bart-officer-died-gunshot-wound-to-chest-autopsy-says_.tsv	10
http:__abcnews.go.com_US_wireStory_asu-revokes-fraternity-chapter-racist-party-21646571.tsv	http:__www.foxnews.com_us_2014_01_24_asu-frat-suspension-raises-first-amendment-debate_.tsv	9
http:__abcnews.go.com_US_wireStory_suburban-chicago-teen-accused-death-girl-11-21623645.tsv	http:__www.foxnews.com_us_2014_01_23_girl-14-accused-in-death-11-year-old-stabbed-30-plus-times_.tsv	11
http:__abcnews.go.com_Technology_wireStory_california-men-charged-hacking-email-porn-21644509.tsv	http:__www.foxnews.com_us_2014_01_24_notorious-revenge-porn-site-operator-charged-with-hacking_.tsv	20
http:__abcnews.go.com_US_wireStory_student-injured-shooting-sc-state-dorm-21658422.tsv	http:__www.foxnews.com_us_2014_01_24_student-reportedly-injured-in-shooting-at-south-carolina-state-university_.tsv	11
http:__abcnews.go.com_US_wireStory_family-alleges-ohio-execution-unconstitutional-21769656.tsv	http:__www.foxnews.com_us_2014_01_25_family-alleges-ohio-execution-unconstitutional_.tsv	15
http:__abcnews.go.com_US_wireStory_student-injured-shooting-sc-state-dorm-21658422.tsv	http:__www.foxnews.com_us_2014_01_25_student-reportedly-injured-in-shooting-at-south-carolina-state-university_.tsv	15
http:__abcnews.go.com_US_wireStory_vt-mother-held-psychiatric-ward-freed-judge-21705676.tsv	http:__www.foxnews.com_us_2014_01_25_vermont-woman-held-against-will-in-psych-ward-ordered-released_.tsv	9
http:__abcnews.go.com_International_wireStory_al-qaida-chief-syria-rebels-end-infighting-21634918.tsv	http:__www.foxnews.com_world_2014_01_23_syria-warring-factions-reportedly-agree-to-face-to-face-talks_.tsv	10
http:__abcnews.go.com_International_wireStory_experts-board-concordia-clues-21636231.tsv	http:__www.foxnews.com_world_2014_01_23_experts-board-concordia-to-see-if-there-is-evidence-more-than-human-error-in_.tsv	15
http:__abcnews.go.com_International_wireStory_israel-foils-al-qaida-plot-us-embassy-21622330.tsv	http:__www.foxnews.com_world_2014_01_23_israel-foils-al-qaeda-plot-on-us-embassy-internal-security-agency-says_.tsv	11
http:__abcnews.go.com_International_wireStory_major-fire-quebec-seniors-home-missing-21634909.tsv	http:__www.foxnews.com_world_2014_01_23_several-missing-after-major-fire-at-quebec-senior-home_.tsv	16
http:__abcnews.go.com_International_wireStory_syrians-ready-talk-takes-day-learn-21633669.tsv	http:__www.foxnews.com_world_2014_01_23_syria-warring-factions-reportedly-agree-to-face-to-face-talks_.tsv	11
http:__abcnews.go.com_Politics_wireStory_syrian-govt-terrorism-talks-priority-21635911.tsv	http:__www.foxnews.com_world_2014_01_23_syria-warring-factions-reportedly-agree-to-face-to-face-talks_.tsv	9
http:__abcnews.go.com_International_wireStory_face-face-meeting-syrian-peace-talks-21648873.tsv	http:__www.foxnews.com_world_2014_01_24_syrian-government-threatens-to-walk-out-peace-talks_.tsv	9
http:__abcnews.go.com_International_wireStory_palestinians-dismiss-israeli-al-qaida-plot-claim-21637335.tsv	http:__www.foxnews.com_world_2014_01_23_us-embassy-plot-reveals-israel-growing-al-qaeda-problem_.tsv	9
http:__abcnews.go.com_US_wireStory_mexican-national-scheduled-executed-texas-21618507.tsv	http:__www.foxnews.com_world_2014_01_23_texas-executes-mexican-despite-diplomatic-protests_.tsv	19
