ABC_link	GUARDIAN_link	NumMatching
http:__abcnews.go.com_International_wireStory_argentina-relaxes-controls-us-dollars-21659786.tsv	http:__www.theguardian.com_world_2014_jan_24_argentinian-peso-freefall-economic-crisis-deepens.tsv	9
http:__abcnews.go.com_US_wireStory_ap-zimmerman-painting-copy-ap-photo-21658341.tsv	http:__www.theguardian.com_world_2014_jan_24_associated-press-painting-george-zimmerman.tsv	14
http:__abcnews.go.com_US_wireStory_indictment-notorious-1978-jfk-lufthansa-heist-21636090.tsv	http:__www.theguardian.com_world_2014_jan_24_alleged-mobster-vincent-asaro-charged-1978-goodfellas-lufthansa-heist.tsv	11
http:__abcnews.go.com_US_wireStory_indictment-notorious-1978-jfk-lufthansa-heist-21636090.tsv	http:__www.theguardian.com_world_2014_jan_24_bonanno-family-boss-pleads-not-guilty-1978-goodfellas-lufthansa-heist.tsv	18
http:__abcnews.go.com_International_wireStory_police-suspended-beating-delhi-citizen-21649441.tsv	http:__www.theguardian.com_world_2014_jan_24_delhi-police-suspend-three-officers-video-beating-aam-admi.tsv	10
http:__abcnews.go.com_US_wireStory_deputies-aide-senator-found-dead-md-21653844.tsv	http:__www.theguardian.com_world_2014_jan_24_former-senate-staffer-child-porn-charges-suicide.tsv	15
http:__abcnews.go.com_International_wireStory_group-end-mass-arrests-muslims-myanmar-21634087.tsv	http:__www.theguardian.com_world_2014_jan_24_un-burma-investgate-rohingya-deaths-violence.tsv	17
http:__abcnews.go.com_US_wireStory_dead-pileup-94-indiana-21643886.tsv	http:__www.theguardian.com_world_2014_jan_24_three-killed-injured-46-car-pileup-indiana.tsv	9
http:__abcnews.go.com_US_wireStory_hospital-told-pregnant-woman-off-support-21728372.tsv	http:__www.theguardian.com_world_2014_jan_24_texas-hospital-acknowledges-brain-dead-pregnant-woman.tsv	10
http:__abcnews.go.com_US_wireStory_hospital-told-pregnant-woman-off-support-21728372.tsv	http:__www.theguardian.com_world_2014_jan_24_texas-judge-hospital-life-support-brain-dead-pregnant-woman.tsv	9
http:__abcnews.go.com_International_wireStory_egypt-police-detain-us-citizen-filmmaker-21736701.tsv	http:__www.theguardian.com_world_2014_jan_25_us-citizen-jeremy-hodge-cairo-egypt.tsv	18
