http:__behindthewall.nbcnews.com__news_2014_01_25_22374875-chinas-official-crackdown-on-graft-brings-a-happy-new-year-for-sharks?lite.tsv,officials,year,shark,government,partys,luxury,hong,extravagance,crackdown,chinese,china,public,official,kong,impact,fins,fin,communist,campaign,2013
http:__dailynightly.nbcnews.com__news_2014_01_23_22400435-new-jersey-to-rebuild-decaying-trenton-central-high-school?lite.tsv,school,trenton,state,students,high,water,staff,news,nbc,central,building,years,officials,year,schools,leaks,classroom,ceiling,showed,ruggiano
http:__firstread.nbcnews.com__news_2014_01_22_22402226-wendy-davis-defiant-in-wake-of-biographical-revelations?lite.tsv,story,davis,texas,young,years,wendy,language,governor,family,divorced,daughter,19,true,tighter,single,separated,school,republicans,operative,news
http:__firstread.nbcnews.com__news_2014_01_22_22403366-lew-warns-debt-limit-must-be-raised-before-end-of-february?lite.tsv,
http:__firstread.nbcnews.com__news_2014_01_23_22414954-first-thoughts-debt-ceiling-debate-here-we-go-again?lite.tsv,debt,limit,house,states,numbers,late,fight,snow,republicans,february,early,earlier,rnc,republican,political,gop,general,democrats,davis,christie
http:__firstread.nbcnews.com__news_2014_01_23_22416004-its-official-heavyweight-dem-super-pac-backs-clinton?lite.tsv,clinton,news,transition,run,obama,nbc,financial,democratic,york,years,woman,white,wealthiest,viewed,usa,times,ties,surprise,super,state
http:__firstread.nbcnews.com__news_2014_01_23_22418112-gop-taps-top-ranking-woman-to-deliver-sotu-response?lite.tsv,response,republican,gop,union,state,party,deliver,year,women,woman,speech,sen,presidents,president,official,mcmorris,highprofile,conference,address,wrestle
http:__firstread.nbcnews.com__news_2014_01_23_22419222-gop-considers-changes-to-2016-calendar?lite.tsv,convention,hold,rnc,republicans,election,contests,2016,states,primary,party,nominating,national,date,committee,calendar,winter,washington,tap,spiker,rules
http:__firstread.nbcnews.com__news_2014_01_24_22429842-first-thoughts-huckabee-falls-into-the-contraception-trap?lite.tsv,rnc,republicans,menendez,investigation,contraception,issues,huckabee,wife,mcdonnell,march,gop,department,year,women,talking,sen,make,justice,hold,healthcare
http:__firstread.nbcnews.com__news_2014_01_24_22432195-republicans-approve-rules-to-shorten-primary-calendar?lite.tsv,states,rules,presidential,march,convention,committee,1,rnc,process,party,nominating,move,iowa,hold,held,hampshire,delegates,contests,clear,2016
http:__investigations.nbcnews.com__news_2014_01_22_22390256-chinese-leaders-riches-cloaked-in-offshore-havens-report-says?lite.tsv,
http:__investigations.nbcnews.com__news_2014_01_22_22404789-fbi-questions-hoboken-mayors-aides-over-alleged-sandy-relief-funds-threat-sources?lite.tsv,zimmer,news,told,nbc,hoboken,city,sources,conversation,witnesses,probe,office,mello,melli,mayor,guadagno,governor,gov,christie,agents,zimmers
